Estado;Tipo de crimen;Ocurrencias;Fecha
Bahia;Robo de mercancía;28;01/08/2022
Bahia;Robo de vehiculo;1046;01/08/2022
Bahia;Robo seguido de muerte;6;01/08/2022
Bahia;Tentativa de homicidio;165;01/08/2022
Bahia;Violación;339;01/09/2022
Bahia;Hurto en el vehículo;575;01/09/2022
Bahia;Homicidio doloso;355;01/09/2022
Bahia;Lesiones corporales seguidas de muerte;4;01/09/2022
Bahia;Robo a entidad financiera;0;01/09/2022
Bahia;Robo de mercancía;27;01/09/2022
Bahia;Robo de vehiculo;1050;01/09/2022
Bahia;Robo seguido de muerte;7;01/09/2022
Bahia;Tentativa de homicidio;188;01/09/2022
Ceará;Violación;111;01/01/2022
Ceará;Hurto en el vehículo;345;01/01/2022
Ceará;Homicidio doloso;241;01/01/2022
Ceará;Lesiones corporales seguidas de muerte;1;01/01/2022
Ceará;Robo a entidad financiera;0;01/01/2022
Ceará;Robo de mercancía;4;01/01/2022
Ceará;Robo de vehiculo;666;01/01/2022
Ceará;Robo seguido de muerte;6;01/01/2022
Ceará;Tentativa de homicidio;64;01/01/2022
Ceará;Violación;109;01/02/2022
Ceará;Hurto en el vehículo;396;01/02/2022
Ceará;Homicidio doloso;252;01/02/2022
Ceará;Lesiones corporales seguidas de muerte;1;01/02/2022
Ceará;Robo a entidad financiera;0;01/02/2022
Ceará;Robo de mercancía;4;01/02/2022
Ceará;Robo de vehiculo;583;01/02/2022
Ceará;Robo seguido de muerte;0;01/02/2022
Ceará;Tentativa de homicidio;83;01/02/2022
Ceará;Violación;146;01/03/2022
Ceará;Hurto en el vehículo;379;01/03/2022
Ceará;Homicidio doloso;214;01/03/2022
Ceará;Lesiones corporales seguidas de muerte;1;01/03/2022
Ceará;Robo a entidad financiera;0;01/03/2022
Ceará;Robo de mercancía;3;01/03/2022
Ceará;Robo de vehiculo;629;01/03/2022
Ceará;Robo seguido de muerte;3;01/03/2022
Ceará;Tentativa de homicidio;81;01/03/2022
Ceará;Violación;122;01/04/2022
Ceará;Hurto en el vehículo;453;01/04/2022
Ceará;Homicidio doloso;218;01/04/2022
Ceará;Lesiones corporales seguidas de muerte;0;01/04/2022
Ceará;Robo a entidad financiera;0;01/04/2022
Ceará;Robo de mercancía;2;01/04/2022
Ceará;Robo de vehiculo;660;01/04/2022
Ceará;Robo seguido de muerte;5;01/04/2022
Ceará;Tentativa de homicidio;102;01/04/2022
Ceará;Violación;178;01/05/2022
Ceará;Hurto en el vehículo;476;01/05/2022
Ceará;Homicidio doloso;248;01/05/2022
